Date,Int,Pressure,PumpState
2017-08-25 04:59:52.140,0,10277.3013,
2017-08-25 05:00:01.360,0,8136.42636,
2017-08-25 05:00:01.670,0,6273.09145,
2017-08-25 05:00:02.000,0,5080.13431,
2017-08-25 05:00:02.300,0,3564.18682,
2017-08-25 05:00:02.610,0,2994.00053,
2017-08-25 05:00:02.910,0,2202.48323,
2017-08-25 05:00:03.200,0,1849.48931,
2017-08-25 05:00:03.520,0,1457.759,
2017-08-25 05:00:03.920,0,1271.49493,
2017-08-25 05:00:04.190,0,1102.27556,
2017-08-25 05:00:04.450,0,964.863329,
2017-08-25 05:00:04.660,0,882.86051,
2017-08-25 05:00:04.970,0,835.287682,
2017-08-25 05:00:05.280,0,693.170962,
2017-08-25 05:00:05.590,0,630.091342,
2017-08-25 05:00:05.890,0,539.519786,
2017-08-25 05:00:06.190,0,455.2948,
2017-08-25 05:00:06.500,0,374.476534,
